english,french
What do you need the money for,En quoi as-tu besoin de l'argent ?
What a good thing you say,Quelle bonne chose tu dis
How long have you been in Japan,Combien de temps êtes-vous resté au Japon ?
How often do you go abroad,À quelle fréquence vas-tu à l'étranger ?
How long will you stay here,Combien de temps allez-vous séjourner ici ?
You can always count on Tom,Tu pourras toujours te fier à Tom.
"You're a friend of Tom's, eh","Tu es l'ami de Tom, pas vrai ?"
How do you get to school,Comment te rends-tu à l'école ?
Which club do you belong to,À quel club appartiens-tu ?
How high can you jump,À quelle hauteur peux-tu sauter ?
How tall are you,Comment mesurez-vous
You are very brave,Tu es très brave.
You look very tired,Tu as l'air très fatigué.
That's very sweet of you,C'est très gentil de ta part.
Which bed do you want to use,Quel lit veux-tu utiliser ?
It's about time you got here,« Il était temps que tu arrives. »
Which one do you take,Lequel prends-tu ?
You may go anywhere you like,Tu peux aller où bon te semble.
"Wherever you go, you'll be welcomed","Où que vous alliez, vous serez bienvenu."
Which college are you aiming for,Quel collège cibles-tu ?
Where do you attend high school,Où allez-vous au lycée
Where were you,Où étiez-vous
Do you feel at home anywhere,Vous sentez-vous à l'aise partout ?
How about you,Que diriez-vous
What are you doing,Que faites-vous
How did you come to know her,Comment as-tu fait sa connaissance ?
Why did you say such a thing,Pourquoi as-tu dit une telle chose ?
What have you come here for,Pourquoi es-tu venu ici ?
What has brought you here,Qu'est-ce que tu viens faire ici?
"You don't know German, do you","Tu ne connais pas l'allemand, n'est-ce pas ?"
Do you not play tennis,ne vous jouez au tennis
"You don't like chocolate, do you","Tu n'aimes pas le chocolat, n'est-ce pas ?"
You have just done your homework,Tu as juste fait tes devoirs.
You have been imposed upon,On vous a imposé
You've been had,On t'a trompé.
You should give up smoking,Tu devrais cesser de fumer.
You must give up smoking,Tu dois arrêter de fumer.
It is best that you stop smoking,Il est préférable d&#39;arrêter de fumer
You should give up smoking and drinking,Tu devrais arrêter de fumer et de boire.
You are to start at once,Vous devez commencer immédiatement.
You needn't have taken a taxi,Tu n'avais pas besoin de prendre un taxi.
You have only to touch the button,Tu dois seulement toucher le bouton.
You have many books,Tu as de nombreux livres.
Are you able to type,Savez-vous taper à la machine ?
You need not have hurried so much,Tu n&#39;as pas besoin de te presser autant
You shouldn't do such a thing,Tu ne devrais pas faire une chose pareille
You are not to do that,Vous n'êtes pas autorisé à le faire
You shouldn't have done such a thing,Tu n&#39;aurais pas dû faire une chose pareille
You can bank on that,Tu peux compter là-dessus.
Who did you give it to,À qui l'as-tu donné ?
You could have done it,Tu aurais pu le faire.
Were you to take it back,Étiez-vous de le reprendre
Have you finished it,L'as-tu terminé ?
Do you have one,C’est quoi la votre ?
You must practice it at regular intervals,Tu dois le pratiquer à intervalle régulier.
What did you open it with,Avec quoi l'as-tu ouvert ?
You shouldn't have done it,Tu n'aurais pas dû faire ça.
You ought not to have done that,Tu n&#39;aurais pas dû faire ça
You needn't do it at once,Tu n&#39;as pas besoin de le faire à la fois
You must do it at once,Tu dois le faire immédiatement.
When did you finish it,Quand l'avez-vous terminé ?
Do you know the reason,Connais-tu la raison ?
Could you solve the problem,Pourrais-tu résoudre le problème ?
You must return the book to him,C'est à lui que tu dois rendre ce livre.
You need not have bought the book,Tu n'avais pas besoin d'acheter ce livre.
You may keep the book,Tu peux garder le livre.
Are you for or against the bill,Êtes-vous pour ou contre le texte de loi ?
You ought to have seen the exhibition,Tu aurais dû voir l'exposition.
You should apply for that post,Tu devrais postuler pour cet emploi.
Do you know where the girl lives,Savez-vous où vit cette fille ?
Have you finished reading the novel,As-tu fini de lire le roman ?
You make too much of the event,Tu accordes une trop grande importance à cet événement.
You should emphasize that fact,Vous devez souligner ce fait
How do you account for the fact,Comment expliquez-vous ce fait ?
Did you watch the game,As-tu regardé le match ?
Did you cut the paper,As-tu coupé le papier ?
You must look after the child,Tu dois t'occuper de l'enfant.
Will you take on the job,Vas-tu prendre le poste ?
You have to overcome the difficulties,Tu dois surmonter les difficultés.
You owe me an apology for that,Vous me devez des excuses pour cela.
You have to account for the result,Vous devez rendre compte du résultat.
You should abide by the consequences,Vous devez subir les conséquences
You are responsible for the result,Tu es responsable de ce résultat.
Are you for or against the plan,Es-tu pour ou contre notre plan ?
You shouldn't have eaten the fish raw,Vous ne devriez pas avoir mangé le poisson cru
Did you ever see the fish,As-tu déjà vu ce poisson ?
Can you make out the meaning easily,Pouvez-vous facilement comprendre le sens
