english,french
I know what you mean,Je sais ce que vous voulez dire.
I don't quite follow you,Je ne te suis pas très bien.
You're just being diplomatic,Tu veux juste paraître diplomate.
You are not consistent,Tu n'es pas cohérent.
She cannot have understood what you said,Elle ne peut pas avoir compris ce que tu as dit.
I think you're right,Je crois que tu as raison.
You may be right,Tu as peut-être raison.
What you say is right,Ce que vous dîtes est vrai.
I find it difficult to believe,J'ai du mal à y croire.
Your words must correspond with your actions,Tes paroles doivent correspondre à tes actions.
Aren't you pushing it too far,Ne pousses-tu pas le bouchon trop loin ?
You are off the point,Vous êtes hors de propos
All that you say is perfectly correct,Tout ce que tu dis est parfaitement correct.
What you say is usually true,Ce que vous dîtes est habituellement vrai.
I can't see what you mean,Je n'arrive pas à me figurer ce que tu veux dire.
I don't follow,Je ne suis pas.
I don't get what you mean,Je ne comprends pas ce que vous voulez dire.
Your study will bear fruit,Ton étude portera ses fruits.
Your dog may be really depressed,Il se peut que votre chien soit en dépression.
What's become of your dog,Qu&#39;est devenu votre chien
I have been anxious about your health,Je me suis inquiété pour ta santé.
I envy your good health,J'envie ta bonne santé.
Your conclusion is highly arguable,Ta conclusion est hautement polémique.
Your decision is open to some debate,Votre décision prête à discussion.
I'm sorry to upset your plans,Je suis désolé de décevoir tes plans.
I will go along with your plan,J'accompagnerai votre plan.
Your plan is of no earthly use,Votre projet n'a aucune utilité concevable.
Your plan is bound to fail,Votre plan est condamné à l'échec.
I'm afraid your plan will not work,J&#39;ai peur que ton plan ne fonctionne pas
Tell me the object of your plan,Faites-moi part de l'objet de votre plan.
Your plan seems better than mine,Votre plan semble meilleur que le mien.
I approve of your plan,J'approuve votre plan.
Tell me about your plan,Parle-moi de ton plan.
Your shoes are here Where are mine,Vos chaussures se trouvent ici. Où sont les miennes ?
Your shoes are here,Tes chaussures sont ici.
I'm sick of listening to your complaints,Je suis fatigué d'écouter tes plaintes.
I cannot help laughing at your folly,Je ne peux m'empêcher de rire devant ta bêtise.
Do you know what you're asking,Savez-vous ce que vous demandez
I forbid you to smoke,Je t'interdis de fumer.
His argument is more radical than yours,Son argument est plus radical que le vôtre.
Leave your desk as it is,Laisse ton bureau tel qu'il est.
I think your basic theory is wrong,Je pense que ta théorie de base est fausse
What's your wish,Quel est ton souhait ?
Your eyes remind me of stars,Tes yeux me rappellent des étoiles.
That is no business of yours,C'est pas tes affaires.
Where is your school,Où est ton école ?
Your singing puts professional singers to shame,Votre chant ferait pâlir un chanteur professionnel.
Your house needs repairing,Ta maison nécessite des réparations.
What direction does your house face,Ta maison fait face à quelle direction ?
Make a sketch of your house,Fais un croquis de ta maison.
Can I use your pencil,Puis-je utiliser ton crayon ?
Your pencils need sharpening,Il faut tailler tes crayons.
Your speech will be recorded in history,Ton discours marquera l'histoire.
I count on your help,Je compte sur ton aide.
Without your assistance I would have failed,Sans ton aide je n'aurais pas réussi.
Your English leaves nothing to be desired,Votre anglais ne laisse rien à désirer
Your English is improving,Ton anglais fait des progrès.
Your English is perfect,Votre anglais est parfait.
Your English has improved a lot,Ton anglais s'est beaucoup amélioré.
Your English has made gradual progress,Votre anglais a progressé progressivement
Your method of teaching English is absurd,Ta méthode d'enseigner l'anglais est absurde.
I'm amazed at your fluency in English,Je suis étonné de votre maîtrise de l&#39;anglais
I want your opinion,Je veux ton avis.
Don't press your opinions on me,Ne me presse pas tes opinions
Your opinion is similar to mine,Votre opinion est similaire à la mienne
Your opinion is far different from mine,Nos avis divergent complètement.
Your opinion is very constructive,Ton opinion est très constructive.
I agree with some of your opinions,Je suis d'accord avec certaines de tes opinions.
Your idea sounds like a good one,Ton idée semble être une bonne idée.
It all depends how you handle it,Cela dépend de comment vous le gérez.
I'm annoyed at your selfishness,Son égoïsme m'agace.
Do the first example in your workbook,Faites le premier exemple de votre classeur
I'll study your report,J'étudierai ton rapport.
I was disappointed with your paper,J'ai été déçu par ton papier.
Your selfishness will lose you your friends,Votre égoïsme vous fera perdre des amis.
I entirely approve of what you say,J&#39;approuve entièrement ce que tu dis
I am losing my patience with you,Je perds patience avec toi.
Your method is different from mine,Tes méthodes sont différentes des miennes.
You're on the right track,Tu es en bonne voie.
What you did is against the rules,Ce que tu as fait est contre les règles
Your time is up,Ton temps est écoulé.
Look about you,À propos de vous
I blush for your mistake,Je rougis de ton erreur
I'll give you anything that you want,Je te donnerai tout ce que tu veux
You have the advantage of me,Tu as l&#39;avantage de moi
Can I use your pen,Puis-je faire usage de votre stylo ?
Your pen is better than mine,Ton stylo est meilleur que le mien.
Your plan sounds great,Ton plan semble excellent.
Your pitching is far superior to mine,Ton lancer est bien meilleur que le mien.
Your tie blends well with your suit,Votre cravate se marie bien avec votre costume.
Your tie has come undone,Ta cravate est défaite.
Your dress is very nice,Ta robe est très jolie.
I'll come to your place,Je vais passer chez toi.
I'll make a model plane for you,Je ferai un avion en modèle réduit pour toi.
Choose such friends as will benefit you,Choisis tes amis de sorte qu'ils te profitent.
I will do anything for you,Je ferai n'importe quoi pour vous.
I'd do any damn thing for you,Je ferais n'importe quoi pour toi.
I'd jump through hoops for you,Je sauterais dans des cerceaux pour toi.
Your excellent work puts me to shame,Votre excellent travail me fait honte
What's the weight of your suitcase,Combien pèse ta valise ?
Your joke bears repeating,Ta blague mérite d&#39;être répétée
You went too far in your joke,Tu es allé trop loin dans ta blague
Your shirt button is coming off,Ton bouton de chemise est en train de partir.
We are worried about you,Nous nous inquiétons pour toi.
I have absolute trust in you,J'ai une absolue confiance en vous.
What are you fond of,Qu&#39;est-ce que tu aimes
Is this your glass or your sister's,Est-ce que c'est votre verre ou celui de votre sœur ?
Your cake is delicious,Ton gâteau est délicieux.
How many are there in your class,Combien sont là dans ta classe ?
Your collar has a stain on it,Ton collet est taché.
Here is your bag,Ton sac est ici.
I took your umbrella by mistake,J'ai pris ton parapluie par erreur.
Your mother is in critical condition,Ta mère est dans un état critique.
I'd like to see your father,Je voudrais voir ton père.
Is your uncle still abroad,Ton oncle est-il toujours à l'étranger ?
What does your aunt do,Que fait ta tante ?
Where does your uncle live,Où habite ton oncle ?
"Thanks to your help, I could succeed","Grâce à ton aide, j'ai pu réussir."
"Thanks to you, the job went well","Grâce à vous, le travail s&#39;est bien passé"
I have no idea what you mean,Je ne comprends pas ce que tu veux dire.
I'm tired of your everlasting grumbles,Je suis fatigué de tes grognements éternels
Your chair is identical to mine,Votre chaise est identique à la mienne
I believe you,Je te crois.
I don't agree with you,Je ne suis pas d'accord avec toi.
Is your apartment well maintained,Votre appartement est-il bien entretenu
Your idea is definitely worth thinking about,Ton idée mérite vraiment réflexion.
I will dry your T-shirt,Je vais sécher ton T-shirt
Your T-shirt will dry soon,Votre T-shirt va bientôt sécher
I regret that I told you,Je regrette de te l'avoir dit.
I have something to tell you,J’ai une confidence à te faire.
I have some good news for you,J'ai quelques bonnes nouvelles pour toi.
I will find you a good doctor,Je vais te trouver un bon toubib.
I'll make you a model plane,Je vais te faire une maquette d'avion.
I will forgive him out of consideration,Je lui pardonnerai en vertu de la considération que je vous porte.
I want you to read this book,Je veux que tu lises ce livre.
I will tell you a secret,Je vais vous faire une confidence.
You can't have understood what he said,Tu ne peux pas avoir compris ce qu'il a dit.
I feel for you,Je compatis avec toi.
I'll boil you the beans,Je te ferai ta tambouille.
You are wanted on the phone,On te réclame au téléphone.
I'll lend it to you,Je te la prêterai.
You shall have a nice present,Tu auras un beau cadeau
Do you know good from evil,Sais-tu faire la différence entre le bien et le mal ?
