english,french
You should go about your business,Vous devriez vaquer à vos occupations
You'd better knuckle down to work,Vous feriez mieux de vous mettre au travail
Your hair wants cutting,Tu as besoin d'aller chez le coiffeur.
Did you call me up last night,M'as-tu appelé hier soir ?
You are guilty of murder,Vous êtes coupable de meurtre
Did you go out last night,Es-tu sorti la nuit dernière ?
You did not come to school yesterday,Tu n'es pas venu à l'école hier.
Did you hear about the fire yesterday,Avez-vous entendu parler de l&#39;incendie hier
Why were you absent yesterday,Pourquoi étais-tu absent hier ?
You should carry out his offer,Vous devez exécuter son offre
You must do your best,Vous devez faire de votre mieux.
You should be ready for the worst,Tu devrais être prêt pour le pire
You look happy today,Tu as l'air gaie aujourd'hui.
You look pale today,Tu as l'air pâle aujourd'hui.
You'd better not go out today,Tu ferais mieux de ne pas partir aujourd'hui.
You must not go out today,Vous ne devez pas sortir aujourd&#39;hui
You had better not see her today,Tu ferais mieux de ne pas la voir aujourd&#39;hui
You look very charming today,Tu es très charmante aujourd&#39;hui
You worked a lot this week,Tu as beaucoup travaillé cette semaine
You're coming with us now,Tu viens avec nous.
What are you about now,De quoi êtes-vous maintenant
Have you ever seen a kangaroo,Avez-vous déjà vu un kangourou
Can you get by on your wages,Peux-tu t'en sortir avec ta rémunération ?
You'd better start now,Tu ferais mieux de commencer maintenant
Are you a senior high school student,Es-tu lycéen ?
You were careless in your action,Vous étiez imprudent dans votre action
You had better go,Tu ferais mieux d'y aller maintenant.
You are old enough to behave yourself,Vous êtes assez vieux pour vous comporter
It is necessary for you to go,Il faut que tu y ailles.
You may go or stay at will,Tu peux partir ou rester selon ton bon plaisir.
You have to go,Vous devez aller
It's necessary for you to go,Il est nécessaire que tu partes.
You'd better not go,Tu ferais mieux de ne pas y aller
Are you happy,Est-ce que vous êtes heureux ?
You made a wise choice,Tu as fait un choix judicieux.
You did an excellent job,Vous avez réalisé un excellent travail.
You had better leave there on Monday,Tu ferais mieux de partir là lundi
You have to account for your absence,Tu dois expliquer la raison de ton absence.
How do you account for your absence,Comment expliquez-vous votre absence
You're off in your reckoning,Vous êtes hors de votre compte
You had better call off your plan,Vous feriez mieux d&#39;annuler votre plan
You must go through with your plan,Vous devez suivre votre plan
You should advocate disarmament,Vous devez plaider pour le désarmement
You must judge for yourself,Jugez vous-mêmes.
