english,french
You should pay your rent in advance,Tu devrais payer ton loyer en avance.
You must keep your room clean,Tu dois garder ta chambre propre.
You are wavering,Vous vacillez
Have you ever climbed Mt Fuji,Avez-vous déjà fait l'ascension du Mont Fuji ?
Your undaunted spirit will carry you through,Votre esprit intrépide vous portera à travers
You have to learn standard English,Vous devez apprendre l&#39;anglais standard
You are not at all wrong,Vous ne vous trompez pas du tout
Have you ever traveled in a plane,Avez-vous déjà voyagé en avion ?
You are idle to the bone,Vous êtes oisif jusqu&#39;à l&#39;os
Can you keep a secret,Peux-tu garder un secret ?
"You are tired, and so am I","Tu es fatigué, et moi aussi."
"You are tired, aren't you","Tu es fatigué, non ?"
Are you not tired,N'es-tu pas fatigué ?
You are too sensitive to criticism,Tu es trop sensible à la critique.
You can rely on him,Vous pouvez compter sur :
You can rely on her,Tu peux compter sur elle.
"You must help her, and soon","Il faut que tu l'aides, et vite !"
You should have acted on her advice,Vous auriez dû suivre ses conseils
You are treading on her corns,Tu marches sur ses cors
Just a minute,Juste une minute.
You are expecting too much of her,Tu attends trop d'elle.
Did you meet her,L'as-tu rencontrée ?
You were taken in by her,Tu as été prise par elle
"Unlike her, you are diligent","Contrairement à elle, vous êtes diligent"
You are not less pretty than her,Tu n'es pas moins jolie qu'elle.
You'll come to like her,Tu apprendras à l'aimer.
You must give him up for dead,Tu dois l&#39;abandonner pour mort
You shouldn't look down on him,Tu ne devrais pas le mépriser.
You are selling him short,Tu le sous-estimes.
You're required to help them,Vous devez les aider
Are you younger than him,Es-tu plus jeune que lui ?
You must take his age into account,Tu dois prendre en compte son âge.
Are you for or against his idea,Es-tu pour ou contre son idée ?
You must pay attention to his advice,Tu dois prêter attention à ses conseils.
You should have accepted his advice,Tu aurais dû accepter son conseil.
You may as well follow his advice,Vous pouvez aussi bien suivre ses conseils
You may make use of his library,Vous pouvez utiliser sa bibliothèque
You must allow for his youth,Vous devez tenir compte de sa jeunesse
You must pay attention to him,Tu dois lui prêter attention.
You ought to have adopted his plan,Vous auriez dû adopter son plan
It's better to ignore his eccentricities,Il vaut mieux ignorer ses excentricités
You overestimate him,Tu le surestimes
You can depend on his help,Vous pouvez compter sur son aide
Did you accept his statement as true,Avez-vous accepté sa déclaration comme vraie
You should have told him the truth,Tu aurais dû lui dire la vérité.
You can't expect much of him,Vous ne pouvez pas vous attendre à beaucoup de lui
You should tell him the truth,Tu devrais lui dire la vérité.
You had better tell him the truth,Tu ferais mieux de lui dire la vérité.
You ought to ask him for advice,Tu devrais lui demander conseil.
Didn't you write a letter to him,Ne lui as-tu pas écrit une lettre ?
You ought to thank him,Tu devrais le remercier.
You will do well to leave him,Vous ferez bien de le quitter
Can you swim as fast as he,Peux-tu nager aussi rapidement que lui ?
Do you know who he is,Savez-vous qui c'est ?
I'm certain of your success,Je suis certain de ton succès.
Have you ever seen him swimming,L'as-tu déjà vu nager ?
You should get your hair cut,Tu devrais te couper les cheveux.
You must be a fool,Vous devez être un imbécile.
Can you ride a horse,Peux-tu monter un cheval ?
You can't ride a horse,Vous êtes incapable de monter à cheval.
You should work hard,Tu devrais travailler dur.
You must study hard,Tu dois bien étudier.
You don't have a temperature,Vous n&#39;avez pas de température
You must not come in,Tu ne dois pas entrer.
Must you work on Sunday,Devez-vous travailler le dimanche
What do you usually do on Sundays,Que fais-tu le dimanche ?
Are you a Japanese student,Êtes-vous un étudiant japonais ?
Do you keep a diary,As-tu un journal personnel ?
Do you know how to cook meat,Sais-tu comment cuire de la viande ?
You work too hard,Tu travailles trop dur.
You know the answer,"Toi, tu le sais."
Do you live here,Est-ce que vous vivez ici ?
You had better study English thoroughly,Vous feriez mieux d&#39;étudier l&#39;anglais à fond
You may as well leave at once,Vous pouvez aussi bien partir immédiatement
You must go home at once,Vous devez rentrer chez vous à la fois
You must be a late riser,Vous devez être un lève-tard
What do you have for breakfast,Que prends-tu au petit-déjeuner ?
Do you have bread for lunch,As-tu du pain pour déjeuner ?
"You won't be late, will you","Tu ne seras pas en retard, n'est-ce pas ?"
You must have stayed up late,Vous devez avoir dormi tard
You ought to be ashamed,Vous devriez avoir honte.
You should have refused his request flatly,Vous auriez dû refuser catégoriquement sa demande
Who are you waiting for,tu attend quoi
You must build up your courage,Vous devez développer votre courage
Whom are you speaking of,De qui parles-tu ?
You may invite whomever you like,Vous pouvez inviter vraiment qui vous voulez.
Are you meeting someone here,Rencontrez-vous quelqu&#39;un ici
Your reading is very advanced,Votre lecture est très avancée
Can you tell wheat from barley,Pouvez-vous distinguer le blé d&#39;orge
You look very pale,Tu as l'air très pâle.
I'm proud of you,Je suis pas fière de toi
You look bored,Tu as l'air de t'ennuyer.
Do you like to be kept waiting,Aimez-vous rester en attente
You may have read this book already,Tu as peut-être déjà lu ce livre.
You will be up against many difficulties,Vous serez confronté à de nombreuses difficultés
You mustn't depend on others for help,Vous ne devez pas dépendre des autres pour obtenir de l&#39;aide
You are too critical of others' shortcomings,Vous critiquez trop les lacunes des autres
Can you throw a fastball,Pouvez-vous lancer une balle rapide
You depend too much on others,Tu dépends trop des autres.
You have foul breath,Tu as mauvaise haleine.
You are too sensitive to noise,Vous êtes trop sensible au bruit
You know quite a lot about Sumo,Tu en sais beaucoup sur le sumo.
You're giving me the same old line,C'est toujours la même litanie que tu me racontes.
You look as healthy as ever,Vous avez l'air en aussi bonne santé que d'habitude.
You are a good student,Tu es un bon étudiant.
Can't you tell right from wrong,Ne sais-tu pas distinguer le bien du mal ?
You should distinguish between right and wrong,Tu dois faire la différence entre le bien et le mal.
You will have heard this story before,Tu auras entendu cette histoire auparavant.
Do you believe war will start,Crois-tu que la guerre va commencer ?
You should follow your teacher's advice,Tu devrais suivre le conseil de ton professeur.
You ran a red light,Tu as grillé un feu rouge.
You should swear on the Bible,Tu devrais le jurer sur la Bible.
You must cultivate your mind,Vous devez cultiver votre esprit
Can you eat raw oysters,Es-tu capable de manger des huîtres crues ?
You are made to be a poet,Tu as l'âme d'un poète.
You seem an honest man,Tu as l'air d'un homme honnête.
You seem to be an honest man,Tu as l'air d'être un homme honnête.
You didn't have to dress,Tu n&#39;as pas eu à t&#39;habiller
I should think you are right,Je devrais penser que tu as raison.
Are you concerned with politics,T'intéresses-tu à la politique ?
You can get ahead in the world,Vous pouvez prendre de l&#39;avance dans le monde
He is ignorant of the world,Il ignore le monde
Are you fond of swimming,Aimes-tu nager ?
You were kind to help me,C'était gentil à toi de m'aider.
Can you break away from your parents,Peux-tu rompre avec tes parents ?
Do you believe in God,Croyez- vous en Dieu?
How thoughtless of you to do that,Qu'est ce que c'était inconsidéré de ta part de faire ça.
You must clear the table,Vous devez vider la table
Do you wash your hands before meals,Te laves-tu les mains avant les repas ?
You really have a passion for food,Tu as vraiment une passion pour la nourriture.
You had better not eat too much,Vous feriez mieux de ne pas manger trop.
You are way off track,Tu es hors-piste.
Are you in jest or in earnest,Êtes-vous en plaisantant ou sérieusement
You had better take a little rest,Tu ferais mieux de te reposer un peu
You're going too far,Tu vas trop loin.
You work hard,Tu travailles dur.
You are free to go out,Tu es libre de sortir.
You have a way with women,Tu sais t'y prendre avec les femmes.
Did you do your homework by yourself,Effectue tes devoirs par toi-même.
You won't be in time for school,Tu ne seras pas à temps pour l&#39;école
You should give up drinking,Tu devrais arrêter de boire.
You should not resort to drinking,Vous ne devez pas recourir à la boisson
You should give up drinking and smoking,Tu devrais arrêter de fumer et de boire.
"You have a light hand, don't you","Vous avez une main légère, n&#39;est-ce pas"
Are you writing a letter,Es-tu en train d'écrire une lettre ?
You needn't have gone to the trouble,Tu n&#39;as pas besoin de t&#39;embêter
You should pay back your debts,Vous devez rembourser vos dettes
You should pay your debts,Vous devez payer vos dettes
You should get your car fixed,Vous devriez faire réparer votre voiture
You had better have your car washed,Tu ferais mieux de laver ta voiture
You cannot be too careful when driving,Vous ne pouvez pas être trop prudent lorsque vous conduisez
You had better not drive a car,Il serait préférable que tu ne conduises pas de voiture.
Can you drive a car,Pouvez-vous conduire une voiture?
"You can drive a car, can't you","Tu peux conduire une voiture, n'est-ce pas?"
You don't have to make an apology,Vous n&#39;avez pas à vous excuser
You should apologize,Tu devrais présenter tes excuses.
Did you actually see the accident,Avez-vous réellement vu l'accident ?
You should acknowledge your failure,Tu devrais reconnaître ton échec.
You are free to go home,Vous êtes libre de rentrer chez vous
You should learn to restrain yourself,Tu dois apprendre à garder ton sang-froid.
You should be true to your friends,Tu devrais être fidèle à tes amis
You should be ashamed of your ignorance,Tu devrais avoir honte de ton ignorance
You should try to cut your way,Vous devriez essayer de vous frayer un chemin
You should live up to your principles,Vous devez respecter vos principes
You must share your jobs with others,Tu dois partager ton travail avec les autres.
You should attend to your own business,Tu ferais mieux de t'occuper de tes affaires.
You must account for your conduct,Vous devez rendre compte de votre conduite
You'll have to answer for your behavior,Tu devras répondre de ta conduite.
You are responsible for what you do,Tu es responsable de ce que tu fais.
You should be responsible for your actions,Vous devez être responsable de vos actions
You should be ashamed of your conduct,Vous devriez avoir honte de votre conduite
You can't afford to neglect your health,Vous ne pouvez pas vous permettre de négliger votre santé
You must perform your duty,Vous devez accomplir votre devoir
You yourself have to finish it,Tu dois le finir toi-même.
You must do it yourself,Tu dois le faire toi-même.
Are you sure of your facts,Êtes-vous sûrs de vos faits ?
You should have introduced yourself,Tu aurais dû te présenter
You must control yourself,Il te faut te contrôler.
You write a very good hand,Tu écris une très bonne main
You must face the facts,Vous devez faire face aux faits
You ought to see a dentist,Tu devrais consulter un dentiste.
You must employ your capital well,Vous devez bien utiliser votre capital
You are expected to pass the exam,Vous devez réussir l&#39;examen
Do you take me for a fool,Me prends-tu pour un idiot ?
